Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"CS Chen","Necomimi: Neural-cognitive multimodal eeg-informed image generation with diffusion models",2024,"arXiv preprint arXiv:2410.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:eQOLeE2rZwMC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2818020502556817165",11,"2026-02-21 21:11:00","Preprint","","",,712,,,,9,4.50,9,1,2,"","",""
7,"CS Chen, GY Chen, D Zhou, D Jiang, D Chen, SH Chang","Improving fine-grained food classification using deep residual learning and selective state space models",2025,"PloS one","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:3fE2CSJIrl8C","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2606509161454484024",12,"2026-02-21 21:11:00","Journal article","","",,20,5,322695,,7,7.00,1,6,1,"","",""
7,"CS Chen, WA Hou, HW Hu, ZS Cai","Quantum Generative Models for Image Generation: Insights from MNIST and MedMNIST",2025,"arXiv preprint arXiv:2504.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:5nxA0vEk-isC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2400365873284257714",13,"2026-02-21 21:11:00","Preprint","","",,34,,,,7,7.00,2,4,1,"","",""
6,"CS Chen, EJ Kuo","Quantum-enhanced channel mixing in rwkv models for time series forecasting",2025,"arXiv preprint arXiv:2505.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:Zph67rFs4hoC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11127386867340752370",14,"2026-02-21 21:11:00","Preprint","","",,13524,,,,6,6.00,3,2,1,"","",""
6,"CS Chen, SYC Chen, HH Tseng","Exploring the potential of qeegnet for cross-task and cross-dataset electroencephalography encoding with quantum machine learning",2025,"J Sign Process Syst 98,","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:hqOjcs7Dif8C","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5682468811195877589",15,"2026-02-21 21:11:00","Journal article","","",,5,2026,,,6,6.00,2,3,1,"","",""
6,"CS Chen, YJ Chen","Optimizing supply chain networks with the power of graph neural networks",2025,"arXiv preprint arXiv:2501.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:_FxGoFyzp5QC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1937143527076142035",16,"2026-02-21 21:11:00","Preprint","","",,6221,,,,6,6.00,3,2,1,"","",""
5,"CS Chen, X Zhang, YC Chen","Quantum Reinforcement Learning Trading Agent for Sector Rotation in the Taiwan Stock Market",2025,"2025 IEEE International Conference on Quantum Computing and Engineering (QCE)","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:qUcmZB5y_30C","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1709961839557410344",17,"2026-02-21 21:11:00","Conference paper","","",,,,,,5,5.00,2,3,1,"","",""
5,"CS Chen, WS Wang","Psycho gundam: Electroencephalography based real-time robotic control system with deep learning",2024,"arXiv preprint arXiv:2411.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:ufrVoPGSRksC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1438954881424381865",18,"2026-02-21 21:11:00","Preprint","","",,6414,,,,5,2.50,3,2,2,"","",""
5,"D Takegami, L Nicolaï, Y Utsumi, A Meléndez-Sans, DA Balatsky, ...","Direct imaging of valence orbitals using hard x-ray photoelectron spectroscopy",2022,"Physical Review Research","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:d1gkVwhDpl0C","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4788729308518595965",19,"2026-02-21 21:11:00","Journal article","","",,4,3,33108,33108,5,1.25,1,6,4,"","",""
3,"CS Chen, EJ Kuo","Unraveling quantum environments: Transformer-assisted learning in Lindblad dynamics",2025,"Physical Review A","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:kNdYIx-mwKoC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1437838430831691649",20,"2026-02-21 21:11:00","Journal article","","",,112,4,42227,42227,3,3.00,2,2,1,"","",""
3,"CS Chen, EJ Kuo","Quantum-enhanced natural language generation: A multi-model framework with hybrid quantum-classical architectures",2025,"arXiv preprint arXiv:2508.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:4DMP91E08xMC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15316226023645083483",21,"2026-02-21 21:11:00","Preprint","","",,21332,,,,3,3.00,2,2,1,"","",""
3,"YJ Chen, A Albarqawi, CS Chen","Enhancing Clinical Decision-Making: Integrating Multi-Agent Systems with Ethical AI Governance",2025,"2025 IEEE Conference on Computational Intelligence in Bioinformatics and …","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:ZeXyd9-uunAC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7617941740741944643",22,"2026-02-21 21:11:00","Conference paper","","",,,,,,3,3.00,1,3,1,"","",""
3,"JTY Lu, J Chiang, CS Chen, ANY Tung, HW Hu, YC Cheng","Eeg2text-cn: An exploratory study of open-vocabulary chinese text-eeg alignment via large language model and contrastive learning on chineseeeg",2025,"arXiv preprint arXiv:2506.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:ULOm3_A8WrAC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6918585612991860140",23,"2026-02-21 21:11:00","Preprint","","",,854,,,,3,3.00,1,6,1,"","",""
2,"CS Chen, AHW Tsai","Benchmarking classical and quantum models for defi yield prediction on curve finance",2025,"arXiv preprint arXiv:2508.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:qxL8FJ1GzNcC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17635623423315921270",24,"2026-02-21 21:11:00","Preprint","","",,2685,,,,2,2.00,1,2,1,"","",""
2,"CS Chen, SH Chang, CW Liu, TM Pan","Exploring the potential of electroencephalography signal–based image generation using diffusion models: Integrative framework combining mixed methods and multimodal analysis",2025,"JMIR Medical Informatics","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:_kc_bZDykSQC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15357634964273315158",25,"2026-02-21 21:11:00","Journal article","","",,13,1,72027,,2,2.00,1,4,1,"","",""
2,"CS Chen, YH Yang, GY Chen, SH Chang","Food classification for dietary support using fine-grained visual recognition with the HERBS Network",2024,"Preprints","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:WF5omc3nYNoC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15591305371368900088",26,"2026-02-21 21:11:00","Preprint","","",,,,,,2,1.00,1,4,2,"","",""
1,"CS Chen, AHW Tsai","Quantum Adaptive Self-Attention for Financial Rebalancing: An Empirical Study on Automated Market Makers in Decentralized Finance",2025,"arXiv preprint arXiv:2509.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:mVmsd5A6BfQC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11835646230271331376",27,"2026-02-21 21:11:00","Preprint","","",,16955,,,,1,1.00,1,2,1,"","",""
1,"CS Chen, SYC Chen, YC Tsai","Benchmarking Quantum and Classical Sequential Models for Urban Telecommunication Forecasting",2025,"arXiv preprint arXiv:2508.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:M3ejUd6NZC8C","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5199466282655639576",28,"2026-02-21 21:11:00","Preprint","","",,4488,,,,1,1.00,0,3,1,"","",""
1,"CS Chen","Vision-QRWKV: Exploring Quantum-Enhanced RWKV Models for Image Classification",2025,"arXiv preprint arXiv:2506.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:YOwf2qJgpHMC","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6860407683194452586",29,"2026-02-21 21:11:00","Preprint","","",,6633,,,,1,1.00,1,1,1,"","",""
0,"CS Chen, X Zhang, EJ Kuo, GY Chen, Q Xie, F Zhang","FreqLens: Interpretable Frequency Attribution for Time Series Forecasting",2026,"arXiv preprint arXiv:2602.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:-f6ydRqryjwC","",30,"2026-02-21 21:11:00","Preprint","","",,8768,,,,0,0.00,0,6,1,"","",""
0,"CS Chen, EJ Kuo, GY Chen, X Zhang, F Zhang","A Unified SPD Token Transformer Framework for EEG Classification: Systematic Comparison of Geometric Embeddings",2026,"arXiv preprint arXiv:2601.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:hC7cP41nSMkC","",31,"2026-02-21 21:11:00","Preprint","","",,21521,,,,0,0.00,0,5,1,"","",""
0,"Z Wang, T Zhang, X Zhang, R Fu, D de la Calle, CS Chen, AE Loshelder, ...","Unsupervised Sensitivity Prior Generation With Diffusion Model for EIT Image Reconstruction",2026,"IEEE Transactions on Industrial Informatics","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:IWHjjKOFINEC","",32,"2026-02-21 21:11:00","Journal article","","",,,,,,0,0.00,0,8,1,"","",""
0,"CS Chen, X Zhang, R Fu, Q Xie, F Zhang","Quantum Temporal Convolutional Neural Networks for Cross-Sectional Equity Return Prediction: A Comparative Benchmark Study",2025,"arXiv preprint arXiv:2512.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:L8Ckcad2t8MC","",33,"2026-02-21 21:11:00","Preprint","","",,6630,,,,0,0.00,0,5,1,"","",""
0,"SL Lai, YC Chou, CS Chen, TC Tung, BR Lin, RF Chang","Detection and tracking of a gauze sponge in minimally invasive surgery using a YOLO and R-CNN based model",2025,"Medical &Biological Engineering &Computing","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:dhFuZR0502QC","",34,"2026-02-21 21:11:00","Book chapter","","",,,,1,14,0,0.00,0,6,1,"","",""
0,"CS Chen, EJ Kuo","Quantum Reinforcement Learning-Guided Diffusion Model for Image Synthesis via Hybrid Quantum-Classical Generative Model Architectures",2025,"arXiv preprint arXiv:2509.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:Wp0gIr-vW9MC","",35,"2026-02-21 21:11:00","Preprint","","",,14163,,,,0,0.00,0,2,1,"","",""
0,"CS Chen, AHW Tsai","Quantum and Classical Machine Learning in Decentralized Finance: Comparative Evidence from Multi-Asset Backtesting of Automated Market Makers",2025,"arXiv preprint arXiv:2510.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:QIV2ME_5wuYC","",36,"2026-02-21 21:11:00","Preprint","","",,15903,,,,0,0.00,0,2,1,"","",""
0,"CS Chen, SYC Chen","Q-DPTS: Quantum Differentially Private Time Series Forecasting via Variational Quantum Circuits",2025,"arXiv preprint arXiv:2508.","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:aqlVkmm33-oC","",37,"2026-02-21 21:11:00","Preprint","","",,5036,,,,0,0.00,0,2,1,"","",""
0,"SH Chang, D Chen, CS Chen, D Zhou, LK Yeh","Device Failures and Adverse Events Associated With Rhinolaryngoscopes: Analysis of the Manufacturer and User Facility Device Experience (MAUDE) Database",2025,"JMIR Human Factors","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:LkGwnXOMwfcC","",38,"2026-02-21 21:11:00","Journal article","","",,12,,67036,,0,0.00,0,5,1,"","",""
0,"CS Chen","基於注意力機制之時間序列原型卷積神經網路與傳統及量子機器學習模型應用於重度憂鬱症腦波之經顱磁刺激抗憂鬱療效預測與分析(EEG Analysis for Prediction of Antidepressant Responses of …",2021,"國立臺灣大學電機資訊學院生醫電子與資訊學研究所碩士學位論文","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:UeHWp8X0CEIC","",39,"2026-02-21 21:11:00","Book chapter","","",,,,1,167,0,0.00,0,1,5,"","",""
0,"HW Hu, CM Huang, HJ Chiang, LJ Chen, CS Chen, KB Cheng","AI-Based Performance Evaluation in Synchronized Ballroom Dance via Custom Vector Similarity and YOLOv8 Pose Estimation",,"Kuangyou B., AI-Based Performance Evaluation in Synchronized Ballroom Dance …,","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5XHD7nkAAAAJ&pagesize=100&citation_for_view=5XHD7nkAAAAJ:7PzlFSSx8tAC","",40,"2026-02-21 21:11:00","","","",,,,,,0,0.00,0,6,,"","",""
